अभी सर कुछ भी पॉसिबल नहीं है अकाउंट वगैरह सब चीज हो गए बहुत बुरी कंडीशन है इसका	अभी सर कुछ भी पॉसिबल नहीं है अकाउंट वगैरह सब चीज हो गए बहुत बुरी कंडीशन है इसका
लोन देते वक्त सुनो मेरी बात सुनो पहले उस बात को सुनो फिर जवाब देना	लोन देते वक्त सुनो मेरी बात सुनो पहले उस बात को सुनो फिर जवाब देना
दम नहीं है अपने पर्सनल नंबर से अब एक बार फोन करके गाली देते किसी को जी मैं बताऊंगा फिर क्या होता है कैसे डिटेल निकालते हैं कैसे घर पहुँच जाते हैं सब कुछ मिल जाता है फिर	दम नहीं है अपने पर्सनल नंबर से अब एक बार फोन करके गाली देते किसी को जी मैं बताऊंगा फिर क्या होता है कैसे डिटेल निकालते हैं कैसे घर पहुँच जाते हैं सब कुछ मिल जाता है फिर
नहीं ये हो रहा है फोरक्लोज़ सेटलमेंट अगर आप लेते हैं तो आपका मतलब बैंक का इश्यू आता है मतलब आप कहीं भी लोन लोगे तो सेटलमेंट लिखा आएगा ठीक है और जो हम कर रहे हैं ना वो होता सर फोरक्लोज़	नहीं ये हो रहा है फोर क्लोज सेटलमेंट अगर आप लेते हैं तो आपका मतलब बैंक का इशू आता है मतलब आप नहीं भी लोन लेकिन सेटलमेंट लिखा आएगा ठीक है और जो हम कर रहे हैं ना गोते सर फोर क्लोज
आप आप नहीं है मैं आपको मैं आपको मना नहीं कर देखो मैं खुद गरीब आदमी हूँ बात	आप आप नहीं है मैं आपको मैं आपको मना नहीं कर देखो मैं खुद गरीब आदमी हूँ बात
नियर बाई बताइए नियर बाई नियर बाई क्या रहेगा पुलिस स्टेशन है नियर बाई	नियर बाई बताइए नियर बाई नियर बाई क्या रहेगा पुलिस स्टेशन है नियर बै
देखिए आपको नेक्स्ट कॉल आ जाएगी अगर आपको सेटलमेंट करना है तो बता देना ये अगर अभी भी आपका सेटलमेंट हो सकता है कम अमाउंट में जो कि पॉसिबल है आपको पहले बताया गया होगा जो आपका लोन पहले सेटल हो रहा था	देखिए आपको नेक्स्ट कॉल आ जाएगी अगर आपको सेटलमेंट करना है तो बता देना ये अगर अभी भी आपका सेटलमेंट हो सकता है कम अमाउंट में जो कि पॉसिबल है आपको पहले बताया गया होगा जो आपका लोन पहले सेटल हो रहा था
मेरी मेरी बात सुनिए डिजिटल हुआ है बात वो ठीक है पर ऑफलाइन तो हुआ ना तुम्हारा जहाँ भी सिस्टम हुआ जो भी कुछ हुआ ऑफलाइन तो हुआ ना	मेरी मेरी बात सही है डिजिटल हुआ है बात वो ठीक है पर ऑफलाइन तो हो ना तुम्हारा जाओ जहाँ भी सिस्टम हुआ जो भी कुछ होके सर ऑनलाइन तो हमारा
देखो सर अगर आप सेटलमेंट कराओगे तो सात हजार छः सौ अड़सठ रुपये में सेटलमेंट हो जाएगा	देखो सर अगर आप सेटलमेंट कराओगे तो सात हजार छः सौ अड़सठ रुपये में सेटलमेंट हो जाएगा
हम देखिए एक लाख बारह हज़ार का थर्टी परसेंट होता है उसको आप हम करवा दीजिए	हम देखिए एक लाख बारह हज़ार का थर्टी परसेंट होता है उसको आप हम करवा दीजिए
अब सर देख लीजिए मुझे तंग ना करा जाए मैं यही गुजारिश करूँगा मेरे पास फ़ोन ना आए जितना मैंने अमाउंट बता दिया इतना देने को तैयार हूँ वो भी फ़ोर क्लोज चाहिए सेटलमेंट चाहिए नहीं है अब आप	अब सर देख लीजिए मुझे तंग ना करा जाए मैं यही गुजारिश करूँगा मेरे पास फ़ोन ना आए जितना मैंने अमाउंट बता दिया इतना देने को तैयार हूँ वो भी फ़ोर क्लोज चाहिए सेटलमेंट चाहिए नहीं है अब आप
ठीक है हम्म हाँ हम्म	ठीक है हम्म हाँ हम्म
हेलो कैसा चाहोगा साहिल भाई बात करना हेलो हेलो	हेलो कैसा चाहोगा साहिल भाई बात करना हेलो हेलो
जी पता कौन लागर आई इन इन दाग मकई था बटी बो	जी पता कौन लागर आई इन इन दाग मकई था बटी बो
और पूरा मई चला चुका जून स्टार्ट हो गया यानी कि तेरह महीने हो गया तेरह महीने के अंदर मैं आपके स्टाफ के हर आदमी को बता चुका हूँ कि मेरी पेमेंट हो चुकी है मेरे घर पर आना हो घर पर आ जाओ मैं आपको वहीं मिलूँगा मेरी शॉप पर आना हो शॉप पर मिलूँगा मैं सारी आपको रिकॉर्डिंग सुना दूँगा श्री राम चौधरी जी का नंबर दे दूँगा ई मेल ई मेल का जो लेटर है वो सारा है मैं आपको व्हाट्सअप कर दूँगा	और पूरा मई चला चुका जून स्टार्ट हो गया यानी कि तेरह महीने हो गया तेरह महीने के अंदर मैं आपके स्टाफ के हर आदमी को बता चुका हूँ कि मेरी पेमेंट हो चुकी है मेरे घर पर आना हो घर पर आ जाओ मैं आपको वहीं मिलूँगा मेरी शॉप पर आना हो शॉप पर मिलूँगा मैं सारी आपको रिकॉर्डिंग सुना दूँगा श्री राम चौधरी जी का नंबर दे दूँगा ई मेल ई मेल का जो लेटर है वो सारा है मैं आपको व्हाट्सअप कर दूँगा
ये पेमेंट जब तक ही नहीं होगा जब तक वो आके ना माफ़ी ना मांग ले जिन जिनको उसने गाड़ी दी है उन सबके पास कॉल करके माफी ना मांगेगी ना जब तक मैं जो पेमेंट देगी	ये पेमेंट जब तक ही नहीं होगा जब तक वो आके ना माफ़ी ना मांग ले जिन जिनको उसने गाड़ी दी है उन सबके पास कॉल करके माफी ना मांगेगी ना जब तक मैं जो पेमेंट देगी
जी आपने इक्कीस अगस्त दो हजार चौबीस को आप इन छत्तीसवे पे कर दिए	जी आपने इक्कीस अगस्त दो हजार चौबीस को आप इन छत्तीसवे पे कर दिए
इसीलिए मुझे दस तारीख तक आप टाइम दे दो आप बीच में एक बार मुझे फोन कर लेना मैं तो रोज अरेंज कर रहा हूँ अगर हो जाएगा तो मैम मैं करवा दूँगा सेटलमेंट इसको	इसीलिए मुझे दस तारीख तक आप टाइम दे दो आप बीच में एक बार मुझे फ़ोन कर लेना मैं तो अरेंज कर रहा हूँ अगर हो जाएगा तो मैम मैं करवा दूँगा सेटलमेंट इसको
आपका देखो टोटल है पाँच हज़ार नौ सौ चौरासी रुपये ठीक है और बिना पेनल्टी के बिना पेनल्टी के सर आप तीन हजार छह सौ छह रुपये	आपका देखो टोटल है पाँच हज़ार नौ सौ चौरासी रुपये ठीक है और बिना पेनल्टी के बिना पेनल्टी के सर आप तीन हजार छह सौ छह रुपये
अब मेरे पास मेरे दवाई मेरी दवाइन की पूर्ति नहीं हो रही मैं खुद ही कहाँ मैं खुद पढ़ी हूँ अब मैं वहाँ से मैंने जहाँ मैं जॉब करी वहाँ पर हट गई मैं खुद हटी थी क्योंकि मेरी ज़्यादा तबियत खराब हो गई थी	अब मेरे पास मेरे दवाई मेरी दवाइन की पूर्ति नहीं हो रही मैं खुद खा मैं खुद पढ़ी हूँ अब मैं वहाँ से मैंने जहाँ मैं जॉब करी वहाँ पर हट गई मैं खुद हटी थी क्योंकि मेरी ज़्यादा तबियत ख़राब हो गई थी
